Namespace(batch_size=5, epoch=10, evaluate=False, iterations=16, load_epoch=0, log_model_dir='./log', lr=1e-05, num_workers=2, root='./', show_interval=1, snapshot_interval=1, test_interval=2)
[epoch:0, batch:0]	 [loss: 0.306]	 [lr: 0.000010]
[epoch:0, batch:1]	 [loss: 0.258]	 [lr: 0.000010]
[epoch:0, batch:2]	 [loss: 0.240]	 [lr: 0.000010]
[epoch:0, batch:3]	 [loss: 0.324]	 [lr: 0.000010]
[epoch:0, batch:4]	 [loss: 0.335]	 [lr: 0.000010]
[epoch:0, batch:5]	 [loss: 0.250]	 [lr: 0.000010]
[epoch:0, batch:6]	 [loss: 0.237]	 [lr: 0.000010]
[epoch:0, batch:7]	 [loss: 0.373]	 [lr: 0.000010]
[epoch:0, batch:8]	 [loss: 0.258]	 [lr: 0.000010]
[epoch:0, batch:9]	 [loss: 0.296]	 [lr: 0.000010]
[epoch:0, batch:10]	 [loss: 0.346]	 [lr: 0.000010]
[epoch:0, batch:11]	 [loss: 0.300]	 [lr: 0.000010]
[epoch:0, batch:12]	 [loss: 0.294]	 [lr: 0.000010]
[epoch:0, batch:13]	 [loss: 0.172]	 [lr: 0.000010]
[epoch:0, batch:14]	 [loss: 0.241]	 [lr: 0.000010]
[epoch:0, batch:15]	 [loss: 0.373]	 [lr: 0.000010]
[epoch:0, batch:16]	 [loss: 0.313]	 [lr: 0.000010]
[epoch:0, batch:17]	 [loss: 0.310]	 [lr: 0.000010]
[epoch:0, batch:18]	 [loss: 0.250]	 [lr: 0.000010]
[epoch:0, batch:19]	 [loss: 0.284]	 [lr: 0.000010]
[epoch:0, batch:20]	 [loss: 0.314]	 [lr: 0.000010]
[epoch:0, batch:21]	 [loss: 0.236]	 [lr: 0.000010]
[epoch:0, batch:22]	 [loss: 0.341]	 [lr: 0.000010]
[epoch:0, batch:23]	 [loss: 0.250]	 [lr: 0.000010]
[epoch:0, batch:24]	 [loss: 0.376]	 [lr: 0.000010]
[epoch:0, batch:25]	 [loss: 0.286]	 [lr: 0.000010]
[epoch:0, batch:26]	 [loss: 0.309]	 [lr: 0.000010]
[epoch:0, batch:27]	 [loss: 0.336]	 [lr: 0.000010]
[epoch:0, batch:28]	 [loss: 0.190]	 [lr: 0.000010]
[epoch:0, batch:29]	 [loss: 0.339]	 [lr: 0.000010]
[epoch:0, batch:30]	 [loss: 0.215]	 [lr: 0.000010]
[epoch:0, batch:31]	 [loss: 0.299]	 [lr: 0.000010]
[epoch:0, batch:32]	 [loss: 0.283]	 [lr: 0.000010]
[epoch:0, batch:33]	 [loss: 0.303]	 [lr: 0.000010]
[epoch:0, batch:34]	 [loss: 0.300]	 [lr: 0.000010]
[epoch:0, batch:35]	 [loss: 0.245]	 [lr: 0.000010]
[epoch:0, batch:36]	 [loss: 0.252]	 [lr: 0.000010]
[epoch:0, batch:37]	 [loss: 0.357]	 [lr: 0.000010]
[epoch:0, batch:38]	 [loss: 0.271]	 [lr: 0.000010]
[epoch:0, batch:39]	 [loss: 0.314]	 [lr: 0.000010]
[epoch:0, batch:40]	 [loss: 0.298]	 [lr: 0.000010]
[epoch:0, batch:41]	 [loss: 0.232]	 [lr: 0.000010]
[epoch:0, batch:42]	 [loss: 0.307]	 [lr: 0.000010]
[epoch:0, batch:43]	 [loss: 0.270]	 [lr: 0.000010]
[epoch:0, batch:44]	 [loss: 0.330]	 [lr: 0.000010]
[epoch:0, batch:45]	 [loss: 0.339]	 [lr: 0.000010]
[epoch:0, batch:46]	 [loss: 0.258]	 [lr: 0.000010]
[epoch:0, batch:47]	 [loss: 0.302]	 [lr: 0.000010]
[epoch:0, batch:48]	 [loss: 0.307]	 [lr: 0.000010]
[epoch:0, batch:49]	 [loss: 0.242]	 [lr: 0.000010]
[epoch:0, batch:50]	 [loss: 0.199]	 [lr: 0.000010]
[epoch:0, batch:51]	 [loss: 0.228]	 [lr: 0.000010]
[epoch:0, batch:52]	 [loss: 0.286]	 [lr: 0.000010]
[epoch:0, batch:53]	 [loss: 0.219]	 [lr: 0.000010]
[epoch:0, batch:54]	 [loss: 0.155]	 [lr: 0.000010]
[epoch:0, batch:55]	 [loss: 0.339]	 [lr: 0.000010]
[epoch:0, batch:56]	 [loss: 0.296]	 [lr: 0.000010]
[epoch:0, batch:57]	 [loss: 0.285]	 [lr: 0.000010]
[epoch:0, batch:58]	 [loss: 0.300]	 [lr: 0.000010]
[epoch:0, batch:59]	 [loss: 0.258]	 [lr: 0.000010]
[epoch:0, batch:60]	 [loss: 0.307]	 [lr: 0.000010]
[epoch:0, batch:61]	 [loss: 0.246]	 [lr: 0.000010]
[epoch:0, batch:62]	 [loss: 0.253]	 [lr: 0.000010]
[epoch:0, batch:63]	 [loss: 0.289]	 [lr: 0.000010]
[epoch:0, batch:64]	 [loss: 0.197]	 [lr: 0.000010]
