Namespace(batch_size=5, epoch=10, log_dir='./logs', lr=0.005, lr_milestion=[2, 4, 6], num_workers=2, root='./', show_interval=1, snapshot_interval=1, test_interval=2)
[epoch:0, batch:0]	 [loss:0.9706773]	 [lr:0.0050000]
[epoch:0, batch:1]	 [loss:0.9611880]	 [lr:0.0050000]
[epoch:0, batch:2]	 [loss:0.9617887]	 [lr:0.0050000]
[epoch:0, batch:3]	 [loss:0.9699621]	 [lr:0.0050000]
[epoch:0, batch:4]	 [loss:0.9511483]	 [lr:0.0050000]
[epoch:0, batch:5]	 [loss:0.9206097]	 [lr:0.0050000]
[epoch:0, batch:6]	 [loss:0.9525561]	 [lr:0.0050000]
[epoch:0, batch:7]	 [loss:0.9557505]	 [lr:0.0050000]
[epoch:0, batch:8]	 [loss:0.9241624]	 [lr:0.0050000]
[epoch:0, batch:9]	 [loss:0.9210490]	 [lr:0.0050000]
[epoch:0, batch:10]	 [loss:0.9265411]	 [lr:0.0050000]
[epoch:0, batch:11]	 [loss:0.9724668]	 [lr:0.0050000]
[epoch:0, batch:12]	 [loss:0.9369956]	 [lr:0.0050000]
[epoch:0, batch:13]	 [loss:0.9306188]	 [lr:0.0050000]
[epoch:0, batch:14]	 [loss:0.9366478]	 [lr:0.0050000]
[epoch:0, batch:15]	 [loss:0.9220193]	 [lr:0.0050000]
[epoch:0, batch:16]	 [loss:0.9310678]	 [lr:0.0050000]
[epoch:0, batch:17]	 [loss:0.9484923]	 [lr:0.0050000]
[epoch:0, batch:18]	 [loss:0.9321884]	 [lr:0.0050000]
[epoch:0, batch:19]	 [loss:0.9179182]	 [lr:0.0050000]
[epoch:0, batch:20]	 [loss:0.9282548]	 [lr:0.0050000]
[epoch:0, batch:21]	 [loss:0.9291799]	 [lr:0.0050000]
[epoch:0, batch:22]	 [loss:0.9019907]	 [lr:0.0050000]
[epoch:0, batch:23]	 [loss:0.9498711]	 [lr:0.0050000]
[epoch:0, batch:24]	 [loss:0.9227373]	 [lr:0.0050000]
